"scientific_name","nombre_comun_es","number_of_trees"
"Eucalyptus camaldulensis","Eucalipto","168"
"Inga spectabilis","Guamo machete","167"
"Attalea butyracea","Palma vino, Corozo de puerto","167"
"Cecropia angustifolia","Yarumo","162"
"Gmelina arborea","Melina","161"
"Megaskepasma erythrochlamys","Capote rojo, Capote rojo brasilero","149"
"Eugenia uniflora","Pitanga, Cereza de cayena, Uvo","149"
"Ravenala madagascariensis","Palma del viajero","144"
"Azadirachta indica","Arbol del Nenn, Margosa","141"
"Melia azedarach","Paraiso","141"
"Livistona decipiens","Palma Llorona","139"
"Ficus binnendijkii","Caucho alii","138"
"Schinus terebinthifolia","Falso Pimiento","131"
"Croton gossypiifolius","Sangregado, Croton, Drago, Candelero","130"
"Coffea arabica","Cafe","129"
"Phyllanthus acuminatus","Mangle de agua dulce","127"
"Ochroma pyramidale","Balso, Balsa, Balso negro, Balso tambor","126"
"Cyrtostachys renda","Palma roja","126"
"Jacaranda copaia","Chingale, Pavito, Gualancho","125"
"Triphasia trifolia","Cerezo asiatico","120"
"Ficus glabrata","Caucho glabrata","119"
"Ficus dendrocida","Caucho matapalo","119"
"Tabebuia ochracea","Guayacan dorado","118"
"Guadua angustifolia","Guadua","116"
"Polyscias guilfoylei","Croton millon","109"
"Solanum americanum","Friega platos","109"
"Cupressus sempervirens","Pino Vela","108"
"Erythrina rubrinervia","Coral","107"
"Triplaris americana","Vara Santa","107"
"Anacardium occidentale","Maranon","103"
"Spondias mombin","Ciruelo, Hobo, Jobo","102"
"Manilkara zapota","Nispero, Chico zapote","99"
"Euphorbia aphylla","Candelabro, Lechero","98"
"Simaba cedron","Cedro","91"
"Miconia spicellata","Mortino, Tuno","90"
"Nectandra reticulata","Laurel amarillo","90"
"Bursera tomentosa","Carano, Tatamaco","90"
"Sabal mauritiforms","Palmiche","89"
"Platysmicium pinnatum","Guayacan trebol","86"
"Acalypha wilkesiana","Falso Croton","83"
"Trema micrantha","Zurrumbo, Raspador, Berraco","82"
"Bursera simaruba","Indio desnudo, Resbala mono","82"
"Bactris gasipaes","Palma de chontaduro, Cachipay, Pejibaye","81"
"Brunfelsia latifolia","Francesina, Monaca","81"
"Dypsis decaryi","Palma triangular","81"
"Tabebuia heterophylla","Guayacan hetero","81"
"Garcinia madruno","Madrono","73"
"Codiaeum variegatum","Croton sangregado","72"
"Mammea americana","Mamey","71"
"Acrocomia aculeata","Palma de Corozo, Chonto, Coyol, Legendaria","70"
"Calliandra schultzei","Carbonero de flor blanca","69"
"Ahouai nitida","Huevos de tigre","69"
"Elaeis oleifera","Palma Noli, Palma aceitera","69"
"Muntingia calabura","Chitato, Capulin, Niguito","69"
"Citrus medica","Limon cidra","68"
"Prosopis juliflora","Trupillo, Aromo, Algarrobo","68"
"Moringa oleifera","Moringa","68"
"Sin Identificar","Sin Identificar","68"
"Juniperus rigida","Pino azul","67"
"Posoqueria latifolia","Carica, Boca de vieja, Fruta de mono, Jazmin naranjo","67"
"Clusia multiflora","Chagualo, Cucharo","64"
"Areca catechu","Palma guadua","64"
"Maclura tinctoria","Dinde","64"
"Ceiba speciosa","Ceiba rosada","62"
"Eucalyptus deglupta","Eucalipto, Eucalipto guayabo","62"
"Lagerstroemia indica","Jupiter","62"
"Cinnamomum cinnamomifolium","Jigua, Laurel jigua","62"
"Sambucus nigra","Sauco","61"
"Malpighia glabra","Huesito glabra","61"
"Ptychosperma macarthurii","Palma macArthur","60"
"Trichilia pallida","Naranjuelo","60"
"Eriobotrya japonica","Nispero japones","60"
"Jatropha integerrima","Fuscia, Liberal 20 de Julio","59"
"Ormosia velutina","Aceituno de monte","59"
"Dracaena draco","Drago","59"
"Citharexylum subflavescens","Palo blanco","57"
"Eucalyptus�globulus","Eucaliptus globulus","55"
"Plumeria cutinifolia","Amancayo amarillo","54"
"Caryodendron orinocense","Inchi, Inche, Tacay","53"
"Tabernaemontana litoralis","Huevos de caballo, Cachito, Azuceno","53"
"Pouteria caimito","Caimo","53"
"Couroupita guianensis","Macaco, Bola de Canon, Castano","51"
"Pinus oocarpa","Pino Ocarpa","51"
"Dracaena reflexa","Dracaena, Cancion de la India","50"
"Pinus patula","Pino patula, Pino lloron","49"
"Bunchosia argentea","Ciruela de monte","49"
"Euphorbia cotinifolia","Lecherito, Lechero rojo, Manzanillo de cerca","49"
"Duranta aurea","Duranta, Duranta arbustiva","47"
"Himatanthus articulatus","Caimo platano","47"
"Senna pistaciifolia","Dorance, Floramarillo, Alcaparro","46"
"Euphorbia pulcherrima","Cardenal, Sombrilla japonesa, Flor de Pascua","44"
"Ficus microcarpa","Caucho microcarpa","43"
"Ricinus communis","Higuerilla","43"
"Albizia carbonaria","Pisquin dormilon","42"
"Schizolobium parahyba","Tambor, Chingale tamborero, Tambor melote","42"
"Casuarina equisetifolia","Casuarina, Pino australiano","41"
"Bucida buceras","Roble, Olivo Negro","41"
"Sabal palmetto","Sabal, Palmicha","40"
"Polyscias fruticosa","Elegantisima","40"
"Ficus sp","Caucho","40"
"Ficus pertusa","Ficus Pertusa","40"
"Ficus carica","Brevo","40"
"Tessaria integrifolia","Aliso de rio, Sauce playero","39"
"Cassia javanica","Acacia rosada","38"
"Acacia melanoxylon","Acacia negra","38"
"Acasia mangium","Acacia magio","37"
"Punica granatum","Granado","37"
"Albizia julibrissin","Palo blanco","37"
"Juglans neotropica","Cedro negro, Nogal","37"
"Andira inermis","Cobre","36"
"Chrysobalanus icaco","Icaco","36"
"Ficus religiosa","Ficus, Caucho Acorazonado","35"
"Spondias dulcis","Hobo Indio, Hobo","33"
"Jatropha curcas","Minon, Minon mexicano","31"
"Piper aduncum","Cordoncillo","31"
"Albizia julibrissin","Arbol de la seda, Parasol chino, Palo blanco","31"
"Brugmansia arborea","Borrachero","31"
"Allamanda cathartica","Allamandra, Trompeta de oro","29"
"Cupania americana","Mestizo, Guacharaco","28"
"Arundinaria nitida","Bambu verde","27"
"Polyscias filicifolia","Pestanas","27"
"Chrysophyllum cainito","Caimo, Caimito morado","27"
"Lafoensia acuminata","Guayacan piedro","26"
"Chamaedorea seifrizii","Palma Bambu","26"
"Pereskia bleo","Bledo","26"
"Carludovica palmata","Palma Iraca","26"
"Tamarindus indica","Tamarindo","25"
"Aiphanes horrida","Corozo horrida","25"
"Retrophyllum rospigliosii","Pino romeron, Pino colombiano","25"
"Dracaena sanderiana","Dracaena, Palo de agua","24"
"Euterpe precatoria","Palmito, Asai, Palmicho","24"
"Solanum macranthum","Lulo ornamental, Arbol de las papas, Lulo de ciudad","24"
"Lysiloma latisiliquum","Acacia lisa","24"
"Phyllostachys aurea","Bambu japones, Guadua china","24"
"Pyracantha coccinea","Holly","24"
"Ficus tolimensi","Ficus Tolima","23"
"Erythrina edulis","Chachafruto, Balu","23"
"Schefflera morototoni","Yarumo macho, Cacheta, Guazu, Anolillo","22"
"Ficus decora","Ficus decora, Caucho decora","22"
"Terminalia amazonica","Almendro amazonico","21"
"Salix babylonica","Sauce lloron","21"
"Tabernaemontana persicariifolia","Tabernoemontana","21"
"Lacistema aggregatum","Huesito","19"
"Dracaena arborea","Dracaena arborea","19"
"Tabebuia roseoalba","Guayacan de flor blanca, Roble blanco","19"
"Peltogyne paniculata","Nazareno","18"
"Pseudobombax septenatum","Ceiba amazonica","18"
"Myrsine guianensis","Cucharo (totocal), Uvo","18"
"Ficus elongata","Ficus elongata","18"
"Tetrorchidium rubrivenium","Juan Blanco, Palo blanco","18"
"Caesalpinia peltophoroides","Acacia amarilla","18"
"Senna siamea","Amarillon, Roble coral, Vara de leon","18"
